DSNO,DATATYPE,NOTE,FILENAME,ORIGIN,DARKFRAME,WLFLAT,WLFLAT2,SKYFLAT,SKYBG,SKYA,SKYB,WAVMAP,EXPMID,EXPSTART,EXPSTOP,EXPTIME,NFILES,FMSTD,SKYMED,SKYAMED,SKYBMED,FIBX0,FIBX1,FIBXWID,FIBINTWID,YFIBRANGE,CCDTEMP,WAVMIN,WAVMAX,WAVSTEP,WAVSHIFT,WRNG1,WRNG2,WRNG3,WRNG4,WOPLOTS,WREST,ELEVTAR,ELEVSUN,TRUEAA,SUBOLON,SUBOLAT,SUBSLON,SUBSLAT,SOTANG,STOANG,ANGRAD,RDISTANC,DELTADIS,RDOT,DELDOT,ILMFRAC,SPADIFF,NPANG,TELPOS,IFIBROI1,IFIBIACT,NFIBXY,CALWAV1,WAVSTEP1,PIXWAV1,PIXDWAVS,PIXWAVS,CALWAVS,GXIFU,GYIFU,DSKXIFU0,DSKYIFU0,DSKXIFUF,DSKYIFUF,PSFALP0,PSFBET0,PSFALPFI,PSFBETFI,HPKSCALE,HPKSIGMA,PANIFU,PSIFU,PSFFWHM,CTS2RAYP,RAY2CDD2,RAY2CDD1,CTS2CDD2,CTS2CDD1,ICAMFILE,PANICAM,PSICAM,NDSKAIFU,NDSKAI80,NDSKFRAC,NDSKCDD2,NDSKCDD1,NDCDD2ER,NDCDD1ER,EMSMFRAC,EMSMFWPX,EMSMFWAS
1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1.01,1,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,A,1.01,1.01,1.01,1.01,1.01,A,A,A,A,A,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,A,A,A,A,1.01,1.01,1.01,1.01,A,A,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,A,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,,,
260914010,WLFLAT,,20260914/wlA00_clf590w.sp.fits,20260914/wlskyA01a_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-14T02:25:29.000,2026-09-14T02:25:16.000,2026-09-14T02:25:42.000,4,4,0.000480410832244865,0,0,0,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,4.9,7.5,1.3,1.5,0,0,0,0,0.1,3.3,0,,,,,,,0.1,1.17,,,,,,,,,,
260914111,SKY    ,,20260914/skyA01_clf590w.sp.fits,20260914/skyA01_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-14T02:29:55.000,2026-09-14T02:27:50.000,2026-09-14T02:32:00.000,60,4,0.008119050433517704,0,0,0,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,4.9,7.5,1.3,1.5,0,0,0,0,0.1,3.3,0,,,,,,,0.1,1.17,,,,,,,,,,
260914161,VENUS,ifuxy=01.25_05.00,20260914/veA01_clf590w.sp.fits,20260914/veA01_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-14T02:49:12.500,2026-09-14T02:47:49.000,2026-09-14T02:50:36.000,8,4,1.5475038173266333,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,41.61238275,22.59765467,183.379,276.457433,6.335357,31.239071,2.638305,41.2772,114.2769,18.27042825,0.728058202,68322514.64,-0.0622228,-12.1452493,0.294426563,0,20.6228,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,35018605483,61866231377,3207425756,5216607242,,,
260914162,VENUS,ifuxy=02.50_05.50,20260914/veA02_clf590w.sp.fits,20260914/veA02_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-14T03:40:23.000,2026-09-14T03:40:10.000,2026-09-14T03:40:36.000,4,4,0.625663034921999,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,32.90576784,10.63875727,183.379,276.529891,6.340107,31.347979,2.638348,41.2631,114.3125,18.28037451,0.728056922,68285340.73,-0.0624469,-12.0679007,0.294143407,0,20.6199,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,35018605483,61866231377,3207425756,5216607242,,,
260914163,VENUS,ifuxy=02.00_05.50,20260914/veA03_clf590w.sp.fits,20260914/veA03_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-14T03:49:27.500,2026-09-14T03:49:06.000,2026-09-14T03:49:49.000,8,4,0.152766491,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,31.21638201,8.51521003,183.379,276.542751,6.340938,31.367292,2.638356,41.2606,114.3188,18.28213304,0.728056695,68278772.45,-0.0624867,-12.0555805,0.294093306,0,20.6193,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,35018605483,61866231377,3207425756,5216607242,,,
260914164,VENUS,ifuxy=03.00_05.50,20260914/veA04_clf590w.sp.fits,20260914/veA04_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-14T04:11:54.500,2026-09-14T04:11:33.000,2026-09-14T04:12:16.000,8,4,0.152766491,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,26.89417765,3.263802418,183.379,276.574581,6.342978,31.41507,2.638374,41.2544,114.3344,18.28647739,0.728056132,68262551.36,-0.062585,-12.0271566,0.293969258,0,20.618,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,35018605483,61866231377,3207425756,5216607242,,,
260915161,VENUS,ifuxy=03.00_05.50,20260915/veA01_clf590w.sp.fits,20260915/veA01_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-15T02:25:29.000,2026-09-15T02:24:24.000,2026-09-15T02:26:34.000,30,4,0.005455739,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,44.50606409,27.89155635,183.379,278.478285,6.462907,34.253198,2.63856,40.8984,115.2457,18.5545754,0.728021098,67276214.89,-0.068404,-12.0801862,0.28674957,0,20.5369,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,35018605483,61866231377,3207425756,5216607242,,,
260915162,VENUS,ifuxy=03.00_05.50,20260915/veA02_clf590w.sp.fits,20260915/veA02_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-15T04:33:10.500,2026-09-15T04:31:05.000,2026-09-15T04:35:16.000,60,4,0.001517451,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,22.08445264,-1.923650819,183.379,278.657234,6.474602,34.52496,2.638488,40.8613,115.3362,18.57993235,0.72801758,67184399.72,-0.0689589,-11.8993802,0.286035507,0,20.5297,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,69123395364,1.20E+11,7248387995,11788891211,,,
260915163,VENUS,ifuxy=03.00_05.50,20260915/veA03_clf590w.sp.fits,20260915/veA03_clf590w_*.fits,20250123/dk01h_20s.sp.fits,20260914/wlA00_clf590w.sp.fits,,20260914/skyA01_clf590w.sp.fits,,,,20260914/skyA01_clf590w.sp.w5wmp.fits,2026-09-15T04:43:32.000,2026-09-15T04:39:20.000,2026-09-15T04:47:44.000,60,8,0.001480498,,,,203,5.95,6,5,"0, 2047",-70,585.10774,591.74326,0.00324,0,"588.5, 589.8","588.5, 588.7, 590, 590.2","588.8, 590.0","588.5, 590.2","588.995, 589.592",589.3,19.96627149,-4.340264216,183.379,278.671785,6.47552,34.547005,2.638481,40.8583,115.3435,18.5819771,0.728017293,67177006.8,-0.0690039,-11.8888546,0.285977932,0,20.5291,EAST,56,,,588.9,0.00293,1024,0,"1000, 1182, 1272, 1363, 1666, 1928","588.383,588.995, 589.284, 589.592,590.560,591.417",0,0,5,2,0.5,5,1.3,1.5,1.2870298,1.5,198596.9554,26.23356027,0.1,3.3,1.97281317,275.4457755,,,7683302.192,12496242.44,,0.1,1.17,,,,57753495781,1.02E+11,6519892195,10604054287,,,
